#: table_doi: 10.17182/hepdata.90640.v1/t23
#: name: Statistical covariance matrix
#: description: Figure 8, statistical covariance matrix for normalized differential cross sections (note, the figure in the paper is for the corresponding correlation matrix)
#: data_file: statcov_normdiffxsec_AllVars.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],13000
Bin,Bin,Statistical covariance for all normalized differential cross section bins
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,-2.149908717e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,-3.187186806e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,-3.97247865e-07
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,3.024478792e-06
$\cos\varphi$ bin 1,$\cos\theta_{1}^{k}$ bin 1,-1.954017526e-06
$\cos\varphi$ bin 2,$\cos\theta_{1}^{k}$ bin 1,2.364250456e-07
$\cos\varphi$ bin 3,$\cos\theta_{1}^{k}$ bin 1,3.326475528e-07
$\cos\varphi$ bin 4,$\cos\theta_{1}^{k}$ bin 1,-8.740852977e-07
$\cos\varphi$ bin 5,$\cos\theta_{1}^{k}$ bin 1,9.220565488e-07
$\cos\varphi$ bin 6,$\cos\theta_{1}^{k}$ bin 1,1.336973676e-06
$\cos\varphi_{\mathrm{lab}}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,-4.20114515e-06
$\cos\varphi_{\mathrm{lab}}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,-3.36612225e-06
$\cos\varphi_{\mathrm{lab}}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,-3.225991086e-06
$\cos\varphi_{\mathrm{lab}}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,-2.186755568e-06
$\cos\varphi_{\mathrm{lab}}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,-4.801639296e-08
$\cos\varphi_{\mathrm{lab}}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,1.302803045e-05
$|\Delta\phi_{\ell\ell}|$ bin 1,$\cos\theta_{1}^{k}$ bin 1,3.091677477e-06
$|\Delta\phi_{\ell\ell}|$ bin 2,$\cos\theta_{1}^{k}$ bin 1,2.566163877e-06
$|\Delta\phi_{\ell\ell}|$ bin 3,$\cos\theta_{1}^{k}$ bin 1,6.463038143e-07
$|\Delta\phi_{\ell\ell}|$ bin 4,$\cos\theta_{1}^{k}$ bin 1,-1.398740881e-06
$|\Delta\phi_{\ell\ell}|$ bin 5,$\cos\theta_{1}^{k}$ bin 1,-2.015531175e-06
$|\Delta\phi_{\ell\ell}|$ bin 6,$\cos\theta_{1}^{k}$ bin 1,-2.889873113e-06
$\cos\theta_{1}^{k}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,-2.471342113e-05
$\cos\theta_{1}^{k}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,4.066937602e-05
$\cos\theta_{1}^{k}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,-4.582870572e-06
$\cos\theta_{1}^{k}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,-2.18804007e-05
$\cos\theta_{1}^{k}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,8.880933308e-06
$\cos\theta_{1}^{k}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,1.62638308e-06
$\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,-1.290037801e-06
$\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,8.467795019e-08
$\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,-9.648660576e-07
$\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,-7.446520181e-07
$\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,-4.240805226e-07
$\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,3.338958449e-06
$\cos\theta_{1}^{r}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,2.680056944e-06
$\cos\theta_{1}^{r}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,6.490030007e-06
$\cos\theta_{1}^{r}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,-5.471981293e-06
$\cos\theta_{1}^{r}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,-7.895648833e-06
$\cos\theta_{1}^{r}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,2.338811249e-06
$\cos\theta_{1}^{r}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,1.858731926e-06
